Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department for the Aging,Case Management Agency Complaint,no description,,No,Address Unknown,0,0,case management agency complaint no description,Department of Consumer Affairs
Department for the Aging,Case Management Agency Complaint,no description,,No,Senior Address,0,0,case management agency complaint no description,Department of Consumer Affairs
Department for the Aging,Elder Abuse,no description,,No,Senior Address,0,0,elder abuse no description,Department for the Aging
Department for the Aging,Eviction,Homebound Senior,,No,Address Unknown,0,0,eviction homebound senior,Department for the Aging
Department for the Aging,Eviction,Mobile Senior,,No,Address Unknown,0,0,eviction mobile senior,Department for the Aging
Department for the Aging,Eviction,Mobile Senior,,No,Senior Address,0,0,eviction mobile senior,Department for the Aging
Department for the Aging,Eviction,Homebound Senior,,No,Senior Address,0,0,eviction homebound senior,Department for the Aging
Department for the Aging,HEAP Assistance,no description,,No,Address Unknown,0,0,heap assistance no description,Human Resources Administration
Department for the Aging,HEAP Assistance,no description,,No,Senior Address,0,0,heap assistance no description,Human Resources Administration
Department for the Aging,Home Delivered Meal - Missed Delivery,no description,,No,Address Unknown,0,0,home delivered meal - missed delivery no description,Department of Consumer Affairs
Department for the Aging,Home Delivered Meal - Missed Delivery,no description,,No,Senior Address,0,0,home delivered meal - missed delivery no description,Department of Consumer Affairs
Department for the Aging,Home Repair,Apartment,,No,Senior Address,0,0,home repair apartment,Department of Consumer Affairs
Department for the Aging,Home Repair,House,,No,Senior Address,0,0,home repair house,Department of Consumer Affairs
Department for the Aging,Legal Services Provider Complaint,no description,,No,Address Unknown,0,0,legal services provider complaint no description,Taxi and Limousine Commission
Department for the Aging,Legal Services Provider Complaint,no description,,No,Service Provider,0,0,legal services provider complaint no description,Taxi and Limousine Commission
Department for the Aging,Utility Program,no description,,No,Address Unknown,0,0,utility program no description,Department of Buildings
Department for the Aging,Utility Program,no description,,No,Senior Address,0,0,utility program no description,Department of Buildings
Department for the Aging,Weatherization,no description,,No,Senior Address,0,0,weatherization no description,Department for the Aging
Department of Buildings,Abandoned Building,Not Closed/Sealed,,Yes,Building,1,1,abandoned building not closed/sealed,Department of Transportation
Department of Buildings,Adult Establishment,Zoning Violation,Near Church/School,Yes,Building,1,1,adult establishment zoning violation,Department of Buildings
Department of Buildings,Adult Establishment,Zoning Violation,Illegal Business,Yes,Building,1,1,adult establishment zoning violation,Department of Buildings
Department of Buildings,Adult Establishment,Zoning Violation,Illegal Hours,Yes,Building,1,1,adult establishment zoning violation,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Inappropriate Picture,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Inappropriate Symbol,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Inappropriate Wording,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,No Permit,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Too Big,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Flexible Fabric,No Permit,Yes,Sign Location,1,1,advertising sign flexible fabric,Department of Buildings
Department of Buildings,Advertising Sign,Poster,No Permit,Yes,Sign Location,1,1,advertising sign poster,Department of Buildings
Department of Buildings,Advertising Sign,Poster,Too Big,Yes,Sign Location,1,1,advertising sign poster,Department of Buildings
Department of Buildings,Advertising Sign,Poster,Inappropriate Wording,Yes,Sign Location,1,1,advertising sign poster,Department of Buildings
Department of Buildings,Advertising Sign,Poster,Inappropriate Symbol,Yes,Sign Location,1,1,advertising sign poster,Department of Buildings
Department of Buildings,Advertising Sign,Poster,Inappropriate Picture,Yes,Sign Location,1,1,advertising sign poster,Department of Buildings
Department of Buildings,Awning/Canopy/Marquee,Illegal,Commercial,Yes,Sign Location,1,1,awning/canopy/marquee illegal,Department of Buildings
Department of Buildings,Awning/Canopy/Marquee,Illegal,Residential,Yes,Sign Location,1,1,awning/canopy/marquee illegal,Department of Buildings
Department of Buildings,Boiler,Defective,,Yes,Street Address,1,1,boiler defective,Department of Buildings
Department of Buildings,Boiler,No Permit/Not Registered,,Yes,Street Address,1,1,boiler no permit/not registered,Department of Buildings
Department of Buildings,Boiler,Not Working,,Yes,Street Address,1,1,boiler not working,Department of Buildings
Department of Buildings,Building Condition,Commercial,Not Maintained,Yes,Street,1,1,building condition commercial,Department of Transportation
Department of Buildings,Building Condition,Residential,Not Maintained,Yes,Street,1,1,building condition residential,Department of Buildings
Department of Buildings,Building Exit,Fire Escape,No Access,Yes,Street,1,1,building exit fire escape,Department of Buildings
Department of Buildings,Building Exit,Fire Escape,Blocked Fully,Yes,Street,1,1,building exit fire escape,Department of Buildings
Department of Buildings,Building Exit,Fire Escape,Blocked Partially,Yes,Street,1,1,building exit fire escape,Department of Buildings
Department of Buildings,Building Exit,Secondary Exit,Blocked Partially,Yes,Street,1,1,building exit secondary exit,Department of Buildings
Department of Buildings,Building Exit,Secondary Exit,Blocked Fully,Yes,Street,1,1,building exit secondary exit,Department of Buildings
Department of Buildings,Building Exit,Secondary Exit,Locked/Sealed,Yes,Street,1,1,building exit secondary exit,Department of Buildings
Department of Buildings,Building Exit,Secondary Exit,,Yes,Street,1,1,building exit secondary exit,Department of Buildings
Department of Buildings,Building Sign,Illegal,,Yes,Street,1,1,building sign illegal,Department of Buildings
Department of Buildings,Building Sign,In Danger of Falling,,Yes,Street,1,1,building sign in danger of falling,Department of Buildings
Department of Buildings,Building Sign,Installation/Removal,Sign Hanger Unlicensed,Yes,Street,1,1,building sign installation/removal,Department of Buildings
Department of Buildings,Building Sign,Installation/Removal,Unsafe,Yes,Street,1,1,building sign installation/removal,Department of Buildings
Department of Buildings,Building Sign,Installation/Removal,After Hours,Yes,Street,1,1,building sign installation/removal,Department of Buildings
Department of Buildings,Building Sign,No Permit,,Yes,Street,1,1,building sign no permit,Department of Buildings
Department of Buildings,Building Sign,Unsafe,,Yes,Street,1,1,building sign unsafe,Department of Buildings
Department of Buildings,Building Sprinkler System,Defective,1-2 Family Home,Yes,Street,1,1,building sprinkler system defective,Department of Health and Mental Hygiene
Department of Buildings,Building Sprinkler System,Defective,Commercial Building,Yes,Street,1,1,building sprinkler system defective,Department of Health and Mental Hygiene
Department of Buildings,Building Sprinkler System,Not Working,Commercial Building,Yes,Street,1,1,building sprinkler system not working,Department of Buildings
Department of Buildings,Building Sprinkler System,Not Working,1-2 Family Home,Yes,Street,1,1,building sprinkler system not working,Department of Buildings
Department of Buildings,Building Structure Damage,Crane Incident,,Yes,Street,1,1,building structure damage crane incident,Department of Parks and Recreation
Department of Buildings,Building Structure Damage,Earthquake,,Yes,Street,1,1,building structure damage earthquake,Department of Parks and Recreation
Department of Buildings,Building Structure Damage,Explosion,,Yes,Street,1,1,building structure damage explosion,Department of Parks and Recreation
Department of Buildings,Building Structure Damage,Hurricane,,Yes,Street,1,1,building structure damage hurricane,Department of Parks and Recreation
Department of Buildings,Building Structure Damage,Other,,Yes,Street,1,1,building structure damage other,Department of Parks and Recreation
Department of Buildings,Building Structure Damage,Tornado,,Yes,Street,1,1,building structure damage tornado,Department of Parks and Recreation
Department of Buildings,Certificate of Occupancy,Illegal Change in Use,,Yes,Street,1,1,certificate of occupancy illegal change in use,Department of Buildings
Department of Buildings,Certificate of Occupancy,Illegal/None,,Yes,Street,1,1,certificate of occupancy illegal/none,Department of Buildings
Department of Buildings,Construction In Progress,Adjacent Building Unprotected,Netting Missing,Yes,Construction Site,1,1,construction in progress adjacent building unprotected,Department of Buildings
Department of Buildings,Construction In Progress,Adjacent Building Unprotected,Fence Missing,Yes,Construction Site,1,1,construction in progress adjacent building unprotected,Department of Buildings
Department of Buildings,Construction In Progress,After Hours,No Special Permit/Variance,Yes,Construction Site,1,1,construction in progress after hours,Department of Parks and Recreation
Department of Buildings,Construction In Progress,Construction Site Unsafe,Worker Conditions Unsafe,Yes,Construction Site,1,1,construction in progress construction site unsafe,Department of Buildings
Department of Buildings,Construction In Progress,Contrary to Plan,,Yes,Construction Site,1,1,construction in progress contrary to plan,Department of Environmental Protection
Department of Buildings,Construction In Progress,Material Storage Unsafe,,Yes,Construction Site,1,1,construction in progress material storage unsafe,Department of Buildings
Department of Buildings,Construction In Progress,Structural Stability Compromised,New Building,Yes,Construction Site,1,1,construction in progress structural stability compromised,Department of Environmental Protection
Department of Buildings,Construction In Progress,Water Flowing Onto Property,Grade/Watercourse Changed,Yes,Construction Site,1,1,construction in progress water flowing onto property,Department of Environmental Protection
Department of Buildings,COVID-19 Executive Order,Construction,,Yes,Construction Site,1,1,covid-19 executive order construction,Department of Environmental Protection
Department of Buildings,Crane,Illegal/No Permit,,Yes,Street,1,1,crane illegal/no permit,Department of Buildings
Department of Buildings,Crane,No License/Certificate,,Yes,Street,1,1,crane no license/certificate,Department of Buildings
Department of Buildings,Crane,Unsafe,No Flag Person on Site,Yes,Street,1,1,crane unsafe,Department of Buildings
Department of Buildings,Curb Cut/Driveway,Illegal,Work in Progress,Yes,Street/Sidewalk,1,1,curb cut/driveway illegal,Department of Buildings
Department of Buildings,Curb Cut/Driveway,Illegal,Existing,Yes,Street/Sidewalk,1,1,curb cut/driveway illegal,Department of Buildings
Department of Buildings,Debris,Excessive,,Yes,Street,1,1,debris excessive,Department of Transportation
Department of Buildings,Debris,Falling,Construction Material,Yes,Street,1,1,debris falling,Department of Buildings
Department of Buildings,Debris,Falling,Building Exterior/Part,Yes,Street,1,1,debris falling,Department of Buildings
Department of Buildings,Debris,In Danger of Falling,Building Exterior/Part,Yes,Street,1,1,debris in danger of falling,Department of Buildings
Department of Buildings,Debris,In Danger of Falling,Construction Material,Yes,Street,1,1,debris in danger of falling,Department of Buildings
Department of Buildings,Deck Safety,No Penalty Inspection,,Yes,Street,1,1,deck safety no penalty inspection,Department of Buildings
Department of Buildings,Demolition,Illegal,,Yes,Construction Site,1,1,demolition illegal,Department of Buildings
Department of Buildings,Demolition,Support/Shoring Inadequate,Interior/Exterior,Yes,Construction Site,1,1,demolition support/shoring inadequate,Department of Buildings
Department of Buildings,Demolition,Unsafe,,Yes,Construction Site,1,1,demolition unsafe,Department of Buildings
Department of Buildings,DOB Posted Notice or Order,Other Notice,Not Readable/Written On,Yes,Street,1,1,dob posted notice or order other notice,Department of Buildings
Department of Buildings,DOB Posted Notice or Order,Other Notice,Removed,Yes,Street,1,1,dob posted notice or order other notice,Department of Buildings
Department of Buildings,DOB Posted Notice or Order,Stop Work Order,Non Compliance,Yes,Street,1,1,dob posted notice or order stop work order,Department of Buildings
Department of Buildings,DOB Posted Notice or Order,Vacate Order,Building Space Reoccupied,Yes,Street,1,1,dob posted notice or order vacate order,Department of Buildings
Department of Buildings,Electrical Wiring,Defective,Faulty,Yes,Street,1,1,electrical wiring defective,Department of Health and Mental Hygiene
Department of Buildings,Electrical Wiring,Defective,Wires Old/Split,Yes,Street,1,1,electrical wiring defective,Department of Health and Mental Hygiene
Department of Buildings,Electrical Wiring,Exposed,Visible,Yes,Street,1,1,electrical wiring exposed,Department of Health and Mental Hygiene
Department of Buildings,Electrical Wiring,Exposed,Loose/Hanging,Yes,Street,1,1,electrical wiring exposed,Department of Health and Mental Hygiene
Department of Buildings,Elevator,No Permit/Not Inspected,Bldg w/ Multiple Devices,Yes,Street Address,1,1,elevator no permit/not inspected,Department of Buildings
Department of Buildings,Elevator,No Permit/Not Inspected,Bldg w/ One Device,Yes,Street Address,1,1,elevator no permit/not inspected,Department of Buildings
Department of Buildings,Elevator,Not Working,Bldg w/ One Device,Yes,Street Address,1,1,elevator not working,Department of Buildings
Department of Buildings,Elevator,Not Working,Bldg w/ Multiple Devices,Yes,Street Address,1,1,elevator not working,Department of Buildings
Department of Buildings,Excavation,Adjacent Building Undermined,,Yes,Street,1,1,excavation adjacent building undermined,Department of Buildings
Department of Buildings,Fence,no description,Construction Site,Yes,Street,1,1,fence no description,Department of Buildings
Department of Buildings,Fence,Not Secured,Construction Site,Yes,Street,1,1,fence not secured,Department of Buildings
Department of Buildings,Fence,Not Secured,Commercial,Yes,Street,1,1,fence not secured,Department of Buildings
Department of Buildings,Fence,Not Secured,Residential,Yes,Street,1,1,fence not secured,Department of Buildings
Department of Buildings,Fence,Over Height Limit,Residential,Yes,Street,1,1,fence over height limit,Department of Transportation
Department of Buildings,Fence,Over Height Limit,Commercial,Yes,Street,1,1,fence over height limit,Department of Transportation
Department of Buildings,Gas Hookup/ Piping,Defective,,Yes,Street,1,1,gas hookup/ piping defective,Department of Consumer Affairs
Department of Buildings,Gas Hookup/ Piping,Illegal,,Yes,Street,1,1,gas hookup/ piping illegal,Department of Buildings
Department of Buildings,Illegal Conversion,Commercial Space,,Yes,Street,1,1,illegal conversion commercial space,Department of Buildings
Department of Buildings,Illegal Conversion,Industrial Space,Used as Business,Yes,Street,1,1,illegal conversion industrial space,Department of Buildings
Department of Buildings,Illegal Conversion,Industrial Space,Used as Residence,Yes,Street,1,1,illegal conversion industrial space,Department of Buildings
Department of Buildings,Illegal Conversion,Residential Space,,Yes,Street,1,1,illegal conversion residential space,Department of Buildings
Department of Buildings,Illegal Use,Commercial Used as Residence,,Yes,Street,1,1,illegal use commercial used as residence,Department of Buildings
Department of Buildings,Illegal Use,Residential Used as Business,,Yes,Street,1,1,illegal use residential used as business,Department of Buildings
Department of Buildings,Illegal Use,Used as Hotel/Vacation Rental/Short Stay,,Yes,Street,1,1,illegal use used as hotel/vacation rental/short stay,Department of Buildings
Department of Buildings,Landmark Building,Illegal Work,No Landmark Approval,Yes,Street,1,1,landmark building illegal work,Department of Buildings
Department of Buildings,Landmark Building,Illegal Work,No Landmark Permit,Yes,Street,1,1,landmark building illegal work,Department of Buildings
Department of Buildings,Landmark Building,Illegal Work,On Exterior,Yes,Street,1,1,landmark building illegal work,Department of Buildings
Department of Buildings,Light from Parking Lot,Shining Brightly,Into Apartment/Building,Yes,Parking Lot,1,1,light from parking lot shining brightly,New York City Police Department
Department of Buildings,No Building Permit,Construction,3 or More Occupied Units,Yes,Street,1,1,no building permit construction,Department of Buildings
Department of Buildings,No Building Permit,Construction,,Yes,Street,1,1,no building permit construction,Department of Buildings
Department of Buildings,No Building Permit,Construction,3 or More Occupied Units,Yes,Street,1,1,no building permit construction,Department of Buildings
Department of Buildings,No Building Permit,Construction,,Yes,Street,1,1,no building permit construction,Department of Buildings
Department of Buildings,No Building Permit,Demolition,,Yes,Street,1,1,no building permit demolition,Department of Buildings
Department of Buildings,No Building Permit,Demolition,3 or More Occupied Units,Yes,Street,1,1,no building permit demolition,Department of Buildings
Department of Buildings,No Building Permit,Demolition,,Yes,Street,1,1,no building permit demolition,Department of Buildings
Department of Buildings,No Building Permit,Demolition,3 or More Occupied Units,Yes,Street,1,1,no building permit demolition,Department of Buildings
Department of Buildings,No Building Permit,Place of Assembly,,Yes,Street,1,1,no building permit place of assembly,Department of Buildings
Department of Buildings,No Handicap Access,Does Not Meet Equal Access Law,,Yes,Street,1,1,no handicap access does not meet equal access law,Department of Buildings
Department of Buildings,Plumbing Work in Past,Illegal/No Permit,Plumbing,Yes,Street,1,1,plumbing work in past illegal/no permit,Department of Buildings
Department of Buildings,Plumbing Work in Past,Illegal/No Permit,Sprinkler,Yes,Street,1,1,plumbing work in past illegal/no permit,Department of Buildings
Department of Buildings,Plumbing Work in Past,Illegal/No Permit,Standpipe,Yes,Street,1,1,plumbing work in past illegal/no permit,Department of Buildings
Department of Buildings,Plumbing Work in Progress,Improper,,Yes,Street,1,1,plumbing work in progress improper,Department of Buildings
Department of Buildings,Plumbing Work in Progress,Unlicensed,,Yes,Street,1,1,plumbing work in progress unlicensed,Department of Health and Mental Hygiene
Department of Buildings,Plumbing,Commercial Building,No Hot Water,Yes,Street,1,1,plumbing commercial building,Department of Buildings
Department of Buildings,Plumbing,Commercial Building,Other,Yes,Street,1,1,plumbing commercial building,Department of Buildings
Department of Buildings,Plumbing,Commercial Building,Leaking,Yes,Street,1,1,plumbing commercial building,Department of Buildings
Department of Buildings,Privately Owned Public Space,Closed During Open Hours,,Yes,Street,1,1,privately owned public space closed during open hours,Department of Buildings
Department of Buildings,Privately Owned Public Space,Not Maintained,,Yes,Street,1,1,privately owned public space not maintained,Department of Buildings
Department of Buildings,Safety Net,6 or Fewer Floors,,Yes,Street,1,1,safety net 6 or fewer floors,Department of Buildings
Department of Buildings,Safety Net,6 or Fewer Floors,Inadequate,Yes,Street,1,1,safety net 6 or fewer floors,Department of Buildings
Department of Buildings,Safety Net,6 or Fewer Floors,Damaged,Yes,Street,1,1,safety net 6 or fewer floors,Department of Buildings
Department of Buildings,Safety Net,More Than 6 Floors,Damaged,Yes,Street,1,1,safety net more than 6 floors,Department of Buildings
Department of Buildings,Safety Net,More Than 6 Floors,Inadequate,Yes,Street,1,1,safety net more than 6 floors,Department of Buildings
Department of Buildings,Safety Net,More Than 6 Floors,,Yes,Street,1,1,safety net more than 6 floors,Department of Buildings
Department of Buildings,Scaffold/Sidewalk Shed,Defective,Board Missing,Yes,Street,1,1,scaffold/sidewalk shed defective,Department of Transportation
Department of Buildings,Scaffold/Sidewalk Shed,Defective,Connection/Railing Missing,Yes,Street,1,1,scaffold/sidewalk shed defective,Department of Transportation
Department of Buildings,Scaffold/Sidewalk Shed,Inadequate,,Yes,Street,1,1,scaffold/sidewalk shed inadequate,Department of Transportation
Department of Buildings,Scaffold/Sidewalk Shed,No Permit/Certificate,,Yes,Street,1,1,scaffold/sidewalk shed no permit/certificate,Department of Buildings
Department of Buildings,Scaffold/Sidewalk Shed,no description,,Yes,Street,1,1,scaffold/sidewalk shed no description,Department of Buildings
Department of Buildings,Scaffold/Sidewalk Shed,Unsafe,,Yes,Street,1,1,scaffold/sidewalk shed unsafe,Department of Buildings
Department of Buildings,Single Occupancy Bathroom,Missing/Improper Sign,,Yes,Street,1,1,single occupancy bathroom missing/improper sign,Department of Buildings
Department of Buildings,Single Room Occupancy,Illegal Conversion,,Yes,Street,1,1,single room occupancy illegal conversion,Department of Buildings
Department of Buildings,Single Room Occupancy,Overcrowded,,Yes,Street,1,1,single room occupancy overcrowded,Department of Health and Mental Hygiene
Department of Buildings,Single Room Occupancy,Used as Business,,Yes,Street,1,1,single room occupancy used as business,Department of Buildings
Department of Buildings,Smoking,No Smoking Sign Missing,,Yes,Street,1,1,smoking no smoking sign missing,Department of Buildings
Department of Buildings,Smoking,Worker Smoking,Construction Site,Yes,Street,1,1,smoking worker smoking,Department of Health and Mental Hygiene
Department of Buildings,Special Natural Area District,Illegal,Land Modification,Yes,Street,1,1,special natural area district illegal,Department of Buildings
Department of Buildings,Special Natural Area District,Illegal,Tree Removal,Yes,Street,1,1,special natural area district illegal,Department of Buildings
Department of Buildings,Suspended/Hanging Scaffold,No License/Certificate,,Yes,Street,1,1,suspended/hanging scaffold no license/certificate,Department of Buildings
Department of Buildings,Suspended/Hanging Scaffold,No Permit,,Yes,Street,1,1,suspended/hanging scaffold no permit,Department of Buildings
Department of Buildings,Suspended/Hanging Scaffold,Unsafe,,Yes,Street,1,1,suspended/hanging scaffold unsafe,Department of Buildings
Department of Buildings,Unlicensed Contractor,Working Without Permit,,Yes,Construction Site,1,1,unlicensed contractor working without permit,Office of Technology and Innovation
Department of Buildings,Unstable Building,Leaning,Construction/Demolition,Yes,Street,1,1,unstable building leaning,Department of Health and Mental Hygiene
Department of Buildings,Unstable Building,Shaking/Vibrating,Construction,Yes,Street,1,1,unstable building shaking/vibrating,Department of Buildings
Department of Buildings,Vent/Exhaust System,Illegal,,Yes,Street,1,1,vent/exhaust system illegal,Department of Buildings
Department of Buildings,Vent/Exhaust System,Improperly Installed,,Yes,Street,1,1,vent/exhaust system improperly installed,Department of Health and Mental Hygiene
Department of Buildings,Vent/Exhaust System,Odor,,Yes,Street,1,1,vent/exhaust system odor,Department of Environmental Protection
Department of Buildings,Wall /Retaining Wall,Bulging,,Yes,Street,1,1,wall /retaining wall bulging,Department of Health and Mental Hygiene
Department of Buildings,Wall /Retaining Wall,Cracked,,Yes,Street,1,1,wall /retaining wall cracked,Department of Health and Mental Hygiene
Department of Buildings,Wall /Retaining Wall,Defective,,Yes,Street,1,1,wall /retaining wall defective,Department of Buildings
Department of Buildings,Wall /Retaining Wall,Inadequate,,Yes,Street,1,1,wall /retaining wall inadequate,Department of Health and Mental Hygiene
Department of Buildings,Wall /Retaining Wall,No Penalty Inspection,,Yes,Street,1,1,wall /retaining wall no penalty inspection,Department of Buildings
Department of Buildings,Water Drainage,Drain/Pipe Clogged,Street Gutter Clogged,Yes,Street,1,1,water drainage drain/pipe clogged,Department of Environmental Protection
Department of Buildings,Water Drainage,Drain/Pipe Clogged,From Land Grade Change,Yes,Street,1,1,water drainage drain/pipe clogged,Department of Environmental Protection
Department of Buildings,Zoning Violation,Commercial Vehicle Storage,Residential Driveway/Lot,Yes,Street,1,1,zoning violation commercial vehicle storage,Department of Buildings
Department of Buildings,Zoning Violation,Construction or Occupancy,,Yes,Street,1,1,zoning violation construction or occupancy,Department of Buildings
Department of Buildings,Zoning Violation,Height Regulations,,Yes,Street,1,1,zoning violation height regulations,Department of Buildings
Department of Buildings,Zoning Violation,Planting or Green Regulations,,Yes,Street,1,1,zoning violation planting or green regulations,Department of Buildings
Department of Buildings,Zoning Violation,Setback Regulations,,Yes,Street,1,1,zoning violation setback regulations,Department of Buildings
Department of Buildings,Zoning Violation,Sidewalk,,Yes,Street,1,1,zoning violation sidewalk,Department of Buildings
Department of Buildings,Zoning Violation,Vehicle Without License Plates,Residential Driveway/Lot,Yes,Street,1,1,zoning violation vehicle without license plates,Department of Buildings
Department of Buildings,Zoning Violation,Yard Regulations,,Yes,Street,1,1,zoning violation yard regulations,Department of Buildings
Department of Consumer Affairs,Consumer Complaint,Amusement Ride,Unlicensed,Yes,Business,2,2,consumer complaint amusement ride,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Amusement Ride,Injury/Safety,Yes,Business,2,2,consumer complaint amusement ride,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Arcade,Minor Present School Hours,Yes,Business,2,2,consumer complaint arcade,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Arcade,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint arcade,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Arcade,Unlicensed,Yes,Business,2,2,consumer complaint arcade,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Arcade,Overcharge,Yes,Business,2,2,consumer complaint arcade,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Auction House/Auctioneer,Overcharge,Yes,Business,2,2,consumer complaint auction house/auctioneer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Auction House/Auctioneer,Unlicensed,Yes,Business,2,2,consumer complaint auction house/auctioneer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Auction House/Auctioneer,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint auction house/auctioneer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Auction House/Auctioneer,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint auction house/auctioneer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Auction House/Auctioneer,False Advertising,Yes,Business,2,2,consumer complaint auction house/auctioneer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bingo Hall,False Advertising,Yes,Business,2,2,consumer complaint bingo hall,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bingo Hall,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint bingo hall,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bingo Hall,Unlicensed,Yes,Business,2,2,consumer complaint bingo hall,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bingo Hall,Overcharge,Yes,Business,2,2,consumer complaint bingo hall,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Receipt Incomplete/Not Given,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Price Not Posted,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Prohibited Item Sale to Minor,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Overcharge,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Toy Gun Sale,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Cigarette Sale to Minor,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,False Advertising,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Bodega/Deli/Supermarket,Improper Sale of Items,Yes,Business,2,2,consumer complaint bodega/deli/supermarket,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Booting Company,Illegal/Unfair Booting,Yes,Business,2,2,consumer complaint booting company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Booting Company,Contact Sign Not Posted,Yes,Business,2,2,consumer complaint booting company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Booting Company,Damaged Vehicle,Yes,Business,2,2,consumer complaint booting company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Booting Company,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint booting company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Booting Company,Unlicensed,Yes,Business,2,2,consumer complaint booting company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Booting Company,Overcharge,Yes,Business,2,2,consumer complaint booting company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Cabaret,Unlicensed,Yes,Business,2,2,consumer complaint cabaret,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Unlicensed,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Damaged Vehicle,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Contract Dispute,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
